OT,Aviso,Fecha_Inicio,Fecha_Fin,Linea,Equipo,Titulo_Falla,Descripcion_Tecnica,Tipo_Mantenimiento,Puesto_Trabajo,Responsable
OT1000910,AV2000910,2024-11-13 13:07:00.000000,2024-11-13 14:52:00,Línea 4 - Alfajores,Robot paletizador,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000913,AV2000913,2024-11-13 21:41:00.000000,2024-11-13 22:27:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000914,AV2000914,2024-11-14 09:25:00.000000,2024-11-14 09:46:00,Línea 4 - Alfajores,Túnel de frío,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000915,AV2000915,2024-11-14 22:26:00.000000,2024-11-14 23:30:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000917,AV2000917,2024-11-15 12:16:00.000000,2024-11-15 12:38:00,Línea 4 - Alfajores,Robot paletizador,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000916,AV2000916,2024-11-15 17:12:00.000000,2024-11-15 17:44:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000919,AV2000919,2024-11-16 09:26:00.000000,2024-11-16 11:04:00,Línea 4 - Alfajores,Robot paletizador,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000184,AV2000184,2024-11-16 10:37:45.509911,2024-11-17 09:09:45,Línea 4 - Alfajores,Robot paletizador,Inspección de Rutina,Cambio de filtros y revisión de parámetros de operación estándar.,Preventivo,MEC_01,Sistema Automático
OT1000918,AV2000918,2024-11-16 10:40:00.000000,2024-11-16 11:19:00,Línea 4 - Alfajores,Túnel de frío,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000920,AV2000920,2024-11-16 15:42:00.000000,2024-11-16 16:08:00,Línea 4 - Alfajores,Buffer,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000921,AV2000921,2024-11-16 20:47:00.000000,2024-11-16 21:58:00,Línea 4 - Alfajores,Bañadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000923,AV2000923,2024-11-17 00:10:00.000000,2024-11-17 01:43:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000925,AV2000925,2024-11-17 00:51:00.000000,2024-11-17 02:29:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000924,AV2000924,2024-11-17 06:45:00.000000,2024-11-17 08:20:00,Línea 4 - Alfajores,Envasadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000922,AV2000922,2024-11-17 23:34:00.000000,2024-11-17 23:56:00,Línea 4 - Alfajores,Buffer,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000927,AV2000927,2024-11-18 03:06:00.000000,2024-11-18 04:14:00,Línea 4 - Alfajores,Túnel de frío,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000926,AV2000926,2024-11-18 17:29:00.000000,2024-11-18 17:57:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000202,AV2000202,2024-11-19 01:09:32.440491,2024-11-20 22:13:32,Línea 1 - Galletas soda,Laminador - Cortador,Ajuste y Calibración,Limpieza profunda de componentes y verificación de aislamientos eléctricos.,Preventivo,MEC_01,Sistema Automático
OT1000929,AV2000929,2024-11-19 09:06:00.000000,2024-11-19 10:55:00,Línea 4 - Alfajores,Bañadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000928,AV2000928,2024-11-19 15:22:00.000000,2024-11-19 15:43:00,Línea 4 - Alfajores,Buffer,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000352,AV2000352,2024-11-20 00:00:00.000000,2024-11-26 13:48:00,Línea 3,Túnel de frío,Fuga de refrigerante,Pérdida de rendimiento por microfuga en línea de líquido. Se soldó y se recargó R-404a.,Correctivo,MEC_01,Sistema Automático
OT1000933,AV2000933,2024-11-20 14:21:00.000000,2024-11-20 16:15:00,Línea 4 - Alfajores,Robot paletizador,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000931,AV2000931,2024-11-20 18:12:00.000000,2024-11-20 18:40:00,Línea 4 - Alfajores,Envasadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000930,AV2000930,2024-11-20 20:05:00.000000,2024-11-20 21:30:00,Línea 4 - Alfajores,Inyectora - Formadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000932,AV2000932,2024-11-20 20:57:00.000000,2024-11-20 21:15:00,Línea 4 - Alfajores,Túnel de frío,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000934,AV2000934,2024-11-21 09:19:00.000000,2024-11-21 10:39:00,Línea 4 - Alfajores,Bañadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000935,AV2000935,2024-11-22 16:12:00.000000,2024-11-22 16:49:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000046,AV2000046,2024-11-23 14:53:07.518934,2024-11-24 10:50:07,Línea 4 - Alfajores,Buffer,Cambio de Consumibles,Ajuste de tensiones y calibración de sensores ópticos.,Preventivo,MEC_01,Sistema Automático
OT1000936,AV2000936,2024-11-23 16:05:00.000000,2024-11-23 17:49:00,Línea 4 - Alfajores,Envasadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000213,AV2000213,2024-11-24 06:58:16.168422,2024-11-25 05:08:16,Línea 3,Elaboración,Inspección de Rutina,Cambio de filtros y revisión de parámetros de operación estándar.,Preventivo,MEC_01,Sistema Automático
OT1000937,AV2000937,2024-11-24 15:42:00.000000,2024-11-24 16:07:00,Línea 4 - Alfajores,Buffer,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000938,AV2000938,2024-11-25 04:43:00.000000,2024-11-25 06:01:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000939,AV2000939,2024-11-26 03:23:00.000000,2024-11-26 05:11:00,Línea 4 - Alfajores,Inyectora - Formadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000940,AV2000940,2024-11-26 08:07:00.000000,2024-11-26 08:28:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000059,AV2000059,2024-11-26 12:25:36.569826,2024-11-27 21:17:36,Línea 5 - Galleta exportada,Robot empaquetador,Mantenimiento Preventivo Programado,Se realizó la inspección visual y lubricación de partes móviles según plan de mantenimiento.,Preventivo,MEC_01,Sistema Automático
OT1000942,AV2000942,2024-11-27 08:42:00.000000,2024-11-27 10:31:00,Línea 4 - Alfajores,Robot paletizador,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000304,AV2000304,2024-11-27 15:01:35.583972,2024-12-02 03:37:35,Línea 1 - Galletas soda,Horno,Fallo en resistencia térmica,Se detectó resistencia abierta en zona 2. Se procedió a reemplazo y pruebas de rampa térmica.,Correctivo,MEC_01,Sistema Automático
OT1000941,AV2000941,2024-11-27 19:51:00.000000,2024-11-27 20:23:00,Línea 4 - Alfajores,Bañadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000305,AV2000305,2024-11-27 21:26:53.807728,2024-11-30 16:53:53,Línea 1 - Galletas soda,Horno,Caída de temperatura,Termocupla defectuosa enviando valores erráticos. Reemplazo y calibración en PID.,Correctivo,MEC_01,Sistema Automático
OT1000944,AV2000944,2024-11-28 01:25:00.000000,2024-11-28 02:31:00,Línea 4 - Alfajores,Envasadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000945,AV2000945,2024-11-28 02:02:00.000000,2024-11-28 02:50:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000946,AV2000946,2024-11-28 19:42:00.000000,2024-11-28 21:40:00,Línea 4 - Alfajores,Bañadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000943,AV2000943,2024-11-28 19:43:00.000000,2024-11-28 20:45:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000947,AV2000947,2024-11-29 01:07:00.000000,2024-11-29 01:58:00,Línea 4 - Alfajores,Bañadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000231,AV2000231,2024-11-29 05:29:25.391852,2024-11-30 09:38:25,Línea 5 - Galleta exportada,Preparación,Ajuste y Calibración,Limpieza profunda de componentes y verificación de aislamientos eléctricos.,Preventivo,MEC_01,Sistema Automático
OT1000948,AV2000948,2024-11-29 19:35:00.000000,2024-11-29 20:23:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000950,AV2000950,2024-11-29 21:28:00.000000,2024-11-29 21:51:00,Línea 4 - Alfajores,Bañadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000949,AV2000949,2024-11-29 23:40:00.000000,2024-11-30 01:24:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000952,AV2000952,2024-11-30 10:03:00.000000,2024-11-30 10:17:00,Línea 4 - Alfajores,Inyectora - Formadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000951,AV2000951,2024-11-30 19:37:00.000000,2024-11-30 20:21:00,Línea 4 - Alfajores,Túnel de frío,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000953,AV2000953,2024-12-01 10:26:00.000000,2024-12-01 12:02:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000954,AV2000954,2024-12-02 04:15:00.000000,2024-12-02 05:57:00,Línea 4 - Alfajores,Robot paletizador,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000955,AV2000955,2024-12-02 10:29:00.000000,2024-12-02 12:25:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000956,AV2000956,2024-12-02 19:58:00.000000,2024-12-02 21:22:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000957,AV2000957,2024-12-02 20:59:00.000000,2024-12-02 21:26:00,Línea 4 - Alfajores,Robot paletizador,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000353,AV2000353,2024-12-03 00:00:00.000000,2024-12-08 08:46:00,Línea 3,Túnel de frío,Fallo en ventilador del condensador,Motor de ventilador quemado (fase a tierra). Se instaló motor nuevo.,Correctivo,MEC_01,Sistema Automático
OT1000958,AV2000958,2024-12-03 09:18:00.000000,2024-12-03 10:43:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000959,AV2000959,2024-12-04 23:27:00.000000,2024-12-04 23:45:00,Línea 4 - Alfajores,Buffer,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000961,AV2000961,2024-12-05 05:05:00.000000,2024-12-05 06:28:00,Línea 4 - Alfajores,Túnel de frío,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000963,AV2000963,2024-12-05 10:33:00.000000,2024-12-05 11:40:00,Línea 4 - Alfajores,Túnel de frío,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000962,AV2000962,2024-12-05 11:58:00.000000,2024-12-05 13:55:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000960,AV2000960,2024-12-05 21:57:00.000000,2024-12-05 22:23:00,Línea 4 - Alfajores,Buffer,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000965,AV2000965,2024-12-06 02:58:00.000000,2024-12-06 04:49:00,Línea 4 - Alfajores,Inyectora - Formadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000964,AV2000964,2024-12-06 05:09:00.000000,2024-12-06 05:25:00,Línea 4 - Alfajores,Buffer,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000966,AV2000966,2024-12-06 07:56:00.000000,2024-12-06 08:51:00,Línea 4 - Alfajores,Bañadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000967,AV2000967,2024-12-06 14:06:00.000000,2024-12-06 14:28:00,Línea 4 - Alfajores,Buffer,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000079,AV2000079,2024-12-06 18:23:40.107772,2024-12-07 22:14:40,Línea 4 - Alfajores,Envasadora,Cambio de Consumibles,Ajuste de tensiones y calibración de sensores ópticos.,Preventivo,MEC_01,Sistema Automático
OT1000968,AV2000968,2024-12-07 03:19:00.000000,2024-12-07 04:10:00,Línea 4 - Alfajores,Túnel de frío,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000969,AV2000969,2024-12-07 13:15:00.000000,2024-12-07 13:33:00,Línea 4 - Alfajores,Bañadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000971,AV2000971,2024-12-07 13:45:00.000000,2024-12-07 14:44:00,Línea 4 - Alfajores,Bañadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000970,AV2000970,2024-12-07 21:25:00.000000,2024-12-07 22:01:00,Línea 4 - Alfajores,Túnel de frío,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000973,AV2000973,2024-12-08 01:24:00.000000,2024-12-08 02:39:00,Línea 4 - Alfajores,Túnel de frío,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000975,AV2000975,2024-12-08 05:20:00.000000,2024-12-08 05:34:00,Línea 4 - Alfajores,Robot paletizador,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000972,AV2000972,2024-12-08 06:42:00.000000,2024-12-08 07:20:00,Línea 4 - Alfajores,Bañadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000974,AV2000974,2024-12-08 08:53:00.000000,2024-12-08 09:39:00,Línea 4 - Alfajores,Envasadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000977,AV2000977,2024-12-09 17:39:00.000000,2024-12-09 18:26:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000976,AV2000976,2024-12-09 18:37:00.000000,2024-12-09 20:09:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000981,AV2000981,2024-12-10 04:35:00.000000,2024-12-10 04:52:00,Línea 4 - Alfajores,Robot paletizador,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000978,AV2000978,2024-12-10 14:18:00.000000,2024-12-10 16:16:00,Línea 4 - Alfajores,Inyectora - Formadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000980,AV2000980,2024-12-10 20:30:00.000000,2024-12-10 21:44:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000979,AV2000979,2024-12-10 21:30:00.000000,2024-12-10 23:05:00,Línea 4 - Alfajores,Envasadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000982,AV2000982,2024-12-11 08:16:00.000000,2024-12-11 08:42:00,Línea 4 - Alfajores,Túnel de frío,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000983,AV2000983,2024-12-12 14:32:00.000000,2024-12-12 15:52:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000984,AV2000984,2024-12-13 01:44:00.000000,2024-12-13 03:22:00,Línea 4 - Alfajores,Envasadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000985,AV2000985,2024-12-13 03:00:00.000000,2024-12-13 03:54:00,Línea 4 - Alfajores,Inyectora - Formadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000986,AV2000986,2024-12-14 09:14:00.000000,2024-12-14 09:27:00,Línea 4 - Alfajores,Envasadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000987,AV2000987,2024-12-15 11:49:00.000000,2024-12-15 12:34:00,Línea 4 - Alfajores,Bañadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000988,AV2000988,2024-12-15 17:17:00.000000,2024-12-15 18:36:00,Línea 4 - Alfajores,Buffer,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000072,AV2000072,2024-12-16 07:36:59.542750,2024-12-17 21:46:59,Línea 1 - Galletas soda,Robot paletizador,Inspección de Rutina,Cambio de filtros y revisión de parámetros de operación estándar.,Preventivo,MEC_01,Sistema Automático
OT1000990,AV2000990,2024-12-16 14:52:00.000000,2024-12-16 16:02:00,Línea 4 - Alfajores,Robot paletizador,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000989,AV2000989,2024-12-16 22:17:00.000000,2024-12-17 00:14:00,Línea 4 - Alfajores,Buffer,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000354,AV2000354,2024-12-17 00:00:00.000000,2024-12-22 16:21:00,Línea 3,Túnel de frío,Paro por alta presión,Compresor se protegió por alta presión. Limpieza de serpentín condensador realizada.,Correctivo,MEC_01,Sistema Automático
OT1000992,AV2000992,2024-12-17 04:38:00.000000,2024-12-17 05:26:00,Línea 4 - Alfajores,Buffer,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000991,AV2000991,2024-12-17 10:41:00.000000,2024-12-17 12:21:00,Línea 4 - Alfajores,Robot paletizador,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000993,AV2000993,2024-12-17 22:37:00.000000,2024-12-18 00:00:00,Línea 4 - Alfajores,Buffer,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1000355,AV2000355,2024-12-18 00:00:00.000000,2024-12-24 03:37:00,Línea 3,Túnel de frío,Alarma de escarcha,Sistema de deshielo falló. Se reemplazó resistencia de descongelamiento.,Correctivo,MEC_01,Sistema Automático
OT1000994,AV2000994,2024-12-18 03:32:00.000000,2024-12-18 04:00:00,Línea 4 - Alfajores,Bañadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000995,AV2000995,2024-12-18 04:20:00.000000,2024-12-18 05:08:00,Línea 4 - Alfajores,Buffer,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000997,AV2000997,2024-12-18 14:56:00.000000,2024-12-18 16:12:00,Línea 4 - Alfajores,Túnel de frío,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000996,AV2000996,2024-12-18 20:06:00.000000,2024-12-18 21:00:00,Línea 4 - Alfajores,Túnel de frío,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1000998,AV2000998,2024-12-19 19:51:00.000000,2024-12-19 20:13:00,Línea 4 - Alfajores,Buffer,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1000095,AV2000095,2024-12-20 16:46:29.164680,2024-12-21 13:19:29,Línea 4 - Alfajores,Bañadora,Mantenimiento Preventivo Programado,Se realizó la inspección visual y lubricación de partes móviles según plan de mantenimiento.,Preventivo,MEC_01,Sistema Automático
OT1000999,AV2000999,2024-12-20 21:11:00.000000,2024-12-20 22:52:00,Línea 4 - Alfajores,Buffer,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1001000,AV2001000,2024-12-21 02:14:00.000000,2024-12-21 03:21:00,Línea 4 - Alfajores,Envasadora,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1001001,AV2001001,2024-12-22 04:03:00.000000,2024-12-22 04:32:00,Línea 4 - Alfajores,Inyectora - Formadora,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1001003,AV2001003,2024-12-22 14:38:00.000000,2024-12-22 16:19:00,Línea 4 - Alfajores,Buffer,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1001004,AV2001004,2024-12-22 18:28:00.000000,2024-12-22 19:49:00,Línea 4 - Alfajores,Envasadora,Fallo de sensor temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,Operacional,MEC_01,Sistema Automático
OT1001002,AV2001002,2024-12-22 18:28:00.000000,2024-12-22 19:38:00,Línea 4 - Alfajores,Túnel de frío,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
OT1000356,AV2000356,2024-12-23 00:00:00.000000,2024-12-25 14:54:00,Línea 3,Túnel de frío,Paro por alta presión,Compresor se protegió por alta presión. Limpieza de serpentín condensador realizada.,Correctivo,MEC_01,Sistema Automático
OT1000075,AV2000075,2024-12-23 00:22:31.749464,2024-12-24 07:26:31,Línea 5 - Galleta exportada,Envasado,Inspección de Rutina,Cambio de filtros y revisión de parámetros de operación estándar.,Preventivo,MEC_01,Sistema Automático
OT1001005,AV2001005,2024-12-23 23:30:00.000000,2024-12-24 00:18:00,Línea 4 - Alfajores,Inyectora - Formadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1001006,AV2001006,2024-12-24 15:23:00.000000,2024-12-24 15:33:00,Línea 4 - Alfajores,Robot paletizador,Micro-paro operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",Operacional,MEC_01,Sistema Automático
OT1001008,AV2001008,2024-12-25 03:11:00.000000,2024-12-25 03:23:00,Línea 4 - Alfajores,Bañadora,Atasco menor de producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,Operacional,MEC_01,Sistema Automático
OT1001007,AV2001007,2024-12-25 05:03:00.000000,2024-12-25 06:29:00,Línea 4 - Alfajores,Robot paletizador,Reinicio de ciclo,"Micro-paro sin intervención mecánica mayor, equipo reseteado desde HMI.",Operacional,MEC_01,Sistema Automático
