AUFNR,QMNUM,GSTRP,GLTRP,TPLNR,EQUNR,QMTXT,LTXTAUFK,AUART,ARBPL,ERNAM
4000812,20000812,2024-09-27 20:58:00+00:00,2024-09-27 23:08:00+0000,PGS-PR-LA4-ENV01,10004003,ATASCO MENOR PROD.,idem anterior,PM03,OPR-TURNO,RFC_PM
4000814,20000814,2024-09-28 00:19:00+00:00,2024-09-28 02:38:00+0000,PGS-PR-LA4-INY01,10004004,RESET CICLO PROD,Ver OT anterior. RESET CICLO PROD,PM03,SUP-LINEA,SUP_LINEA
4000815,20000815,2024-09-29 16:39:00+00:00,2024-09-29 18:08:00+0000,PGS-PR-LA4-BAN01,10004001,FALLA DE SENSOR,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,SYS_IIOT
4000816,20000816,2024-09-30 16:28:00+00:00,2024-09-30 18:44:00+0000,PGS-PR-LA4-INY01,10004004,Rst. de ciclo,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,RFC_PM
4000820,20000820,2024-10-01 03:20:00+00:00,2024-10-01 05:35:00+0000,PGS-PR-LA4-TDF01,10004005,reinicio de ciclo HMI,"MICRO-PARO SIN INTERVENCIÓN MECÁNICA MAYOR, EQUIPO RESETEADO DESDE HMI.",PM03,OPR-TURNO,OPR_T2
4000045,20000045,2024-10-01 03:57:31+00:00,2024-10-01 07:00:31+0000,PGS-PR-LA4-BUF01,10004002,AJUSTE Y CALIB.,Limpieza profunda de componentes y verificacion de aislamientos eléctricos.,PM02,ELE-PREV,MEC_02
4000817,20000817,2024-10-01 09:13:00+00:00,2024-10-01 10:25:00+0000,PGS-PR-LA4-BAN01,10004001,micro paro op.,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,OPR-TURNO,RFC_PM
4000818,20000818,2024-10-01 14:44:00+00:00,2024-10-01 18:19:00+0000,PGS-PR-LA4-BUF01,10004002,m.paro oper,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,OPR_T1
4000819,20000819,2024-10-01 14:48:00+00:00,2024-10-01 17:00:00+0000,PGS-PR-LA4-RPL01,10004006,micro paro op.,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,BAT_USER
4000821,20000821,2024-10-02 08:40:00+00:00,2024-10-02 12:11:00+0000,PGS-PR-LA4-BUF01,10004002,fallo sensor temp,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,OPR_T1
4000139,20000139,2024-10-03 06:23:30+00:00,2024-10-03 07:57:30+0000,PGS-PR-LA2-BAN01,10004001,INSP RUTINARIA,Cambio de filtros y revisión de parametros de operacion estandar.,PM02,ELE-PREV,FDIAZ
4000822,20000822,2024-10-03 20:57:00+00:00,2024-10-03 23:04:00+0000,PGS-PR-LA4-INY01,10004004,RESET CICLO PROD,"MICRO-PARO SIN INTERVENCIÓN MECÁNICA MAYOR, EQUIPO RESETEADO DESDE HMI.",PM03,SUP-LINEA,RFC_PM
4000823,20000823,2024-10-04 05:23:00+00:00,2024-10-04 07:19:00+0000,PGS-PR-LA4-RPL01,10004006,MICRO PARO OPER.,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,OPR-TURNO,RFC_PM
4000824,20000824,2024-10-05 09:35:00+00:00,2024-10-05 10:58:00+0000,PGS-PR-LA4-BAN01,10004001,MICROPARO,"ATASCO DE PRODUCTO EN LA LÍNEA, RESUELTO POR EL OPERARIO DE TURNO EN POCOS MINUTOS.",PM03,SUP-LINEA,RFC_PM
4000826,20000826,2024-10-06 00:39:00+00:00,2024-10-06 02:33:00+0000,PGS-PR-LA4-RPL01,10004006,ATSC PRODUCTO,SENSOR DE PROXIMIDAD SUCIO. SE LIMPIÓ Y SE REINICIÓ LA MARCHA.,PM03,OPR-TURNO,RFC_PM
4000272,20000272,2024-10-06 02:08:39+00:00,2024-10-06 04:43:39+0000,PGS-PR-LA4-ENV01,10004003,INSP RUTINARIA,revisar en prox turno,PM02,INSP-GEN,BAT_USER
4000827,20000827,2024-10-06 16:27:00+00:00,2024-10-06 18:09:00+0000,PGS-PR-LA4-RPL01,10004006,Rst. de ciclo,revisar en prox turno,PM03,SUP-LINEA,OPR_T3
4000825,20000825,2024-10-06 22:49:00+00:00,2024-10-07 01:35:00+0000,PGS-PR-LA4-TDF01,10004005,REINICIO CICLO,"MICRO-PARO SIN INTERVENCIÓN MECÁNICA MAYOR, EQUIPO RESETEADO DESDE HMI.",PM03,SUP-LINEA,SUP_LINEA
4000830,20000830,2024-10-07 13:09:00+00:00,2024-10-07 14:52:00+0000,PGS-PR-LA4-BAN01,10004001,reinicio de ciclo HMI,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,BAT_USER
4000829,20000829,2024-10-07 15:55:00+00:00,2024-10-07 17:32:00+0000,PGS-PR-LA4-BAN01,10004001,REINICIO CICLO,equipo normalizado,PM03,OPR-TURNO,OPR_T2
4000828,20000828,2024-10-07 18:08:00+00:00,2024-10-07 19:35:00+0000,PGS-PR-LA4-BAN01,10004001,MICROPARO,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,SYS_IIOT
4000276,20000276,2024-10-07 23:19:27+00:00,2024-10-11 23:45:27+0000,PGS-PR-LA3-DST01,10009001,INSP. RUTINA,equipo normalizado,PM02,INSP-GEN,FDIAZ
4000831,20000831,2024-10-08 02:35:00+00:00,2024-10-08 04:59:00+0000,PGS-PR-LA4-ENV01,10004003,RESET CICLO PROD,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,OPR_T1
4000832,20000832,2024-10-08 13:37:00+00:00,2024-10-08 15:24:00+0000,PGS-PR-LA4-RPL01,10004006,ATASCO L4,Ver OT anterior. ATASCO L4,PM03,OPR-TURNO,OPR_T2
4000833,20000833,2024-10-09 07:12:00+00:00,2024-10-09 09:45:00+0000,PGS-PR-LA4-ENV01,10004003,FALLO SENS TEMP,Se normalizo. OK,PM03,OPR-TURNO,RFC_PM
4000038,20000038,2024-10-10 02:27:05+00:00,2024-10-10 05:09:05+0000,PGS-PR-LA3-ENV01,10004003,AJ. Y CALIBRACION,Ver OT anterior. AJ. Y CALIBRACION,PM02,ELE-PREV,RFC_PM
4000834,20000834,2024-10-10 06:54:00+00:00,2024-10-10 08:07:00+0000,PGS-PR-LA4-BAN01,10004001,atasco menor,SENSOR DE PROXIMIDAD SUCIO. SE LIMPIÓ Y SE REINICIÓ LA MARCHA.,PM03,SUP-LINEA,SYS_SCADA
4000195,20000195,2024-10-10 19:35:06+00:00,2024-10-10 22:21:06+0000,PGS-PR-LA3-ENV01,10004003,CALIB. Y AJUSTE,Limpieza profunda de componentes y verificacion de aislamientos eléctricos.,PM02,ELE-PREV,MEC_03
4000835,20000835,2024-10-11 06:51:00+00:00,2024-10-11 09:17:00+0000,PGS-PR-LA4-INY01,10004004,atasco producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,SYS_IIOT
4000836,20000836,2024-10-11 20:02:00+00:00,2024-10-11 21:41:00+0000,PGS-PR-LA4-BAN01,10004001,FALLA DE SENSOR,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,SYS_SCADA
4000837,20000837,2024-10-12 22:39:00+00:00,2024-10-13 00:16:00+0000,PGS-PR-LA4-BAN01,10004001,ATASCO L4,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,OPR_T3
4000838,20000838,2024-10-12 23:41:00+00:00,2024-10-13 01:52:00+0000,PGS-PR-LA4-RPL01,10004006,RST CICLO,"Intervencion rapida, sin repuestos",PM03,OPR-TURNO,BAT_USER
4000303,20000303,2024-10-13 00:43:09+00:00,2024-10-14 00:16:09+0000,PGS-PR-LA1-HRN01,10001001,FALLA RESISTENCIA TERM.,Se detecto resistencia abierta en zona 2. Se procedio a reemplazo y pruebas de rampa térmica.,PM01,TURNO-C,AMARTINEZ
4000839,20000839,2024-10-13 01:30:00+00:00,2024-10-13 03:18:00+0000,PGS-PR-LA4-INY01,10004004,Falla sens. prox,PARO MENOR POR DESALINEACIÓN DE MATERIAL. AJUSTE RÁPIDO REALIZADO.,PM03,OPR-TURNO,SYS_SCADA
4000089,20000089,2024-10-13 23:43:14+00:00,2024-10-17 23:39:14+0000,PGS-PR-LA1-SFR01,10001002,Mto. Prev. Prog.,Se realizo la inspeccion visual y lubricacion de partes móviles segun plan de mantenimiento.,PM02,INSP-GEN,PLOPEZ
4000843,20000843,2024-10-14 08:04:00+00:00,2024-10-14 10:04:00+0000,PGS-PR-LA4-RPL01,10004006,FALLO SENS TEMP,Se normalizo. OK,PM03,SUP-LINEA,OPR_T3
4000842,20000842,2024-10-14 16:32:00+00:00,2024-10-14 18:16:00+0000,PGS-PR-LA4-INY01,10004004,ATASCO MENOR PROD.,SENSOR DE PROXIMIDAD SUCIO. SE LIMPIÓ Y SE REINICIÓ LA MARCHA.,PM03,OPR-TURNO,RFC_PM
4000841,20000841,2024-10-14 18:54:00+00:00,2024-10-14 21:41:00+0000,PGS-PR-LA4-TDF01,10004005,atasco menor,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,OPR-TURNO,OPR_T3
4000840,20000840,2024-10-14 19:34:00+00:00,2024-10-14 22:22:00+0000,PGS-PR-LA4-ENV01,10004003,MICRO PARO,ok,PM03,OPR-TURNO,OPR_T3
4000844,20000844,2024-10-15 04:24:00+00:00,2024-10-15 06:37:00+0000,PGS-PR-LA4-ENV01,10004003,Micro paro - operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,RFC_PM
4000156,20000156,2024-10-15 06:33:45+00:00,2024-10-16 20:02:45+0000,PGS-PR-LA1-REM01,10005003,MTO PREV. PROGRAMADO,Se realizo la inspeccion visual y lubricacion de partes móviles segun plan de mantenimiento.,PM02,INSP-GEN,PLOPEZ
4000845,20000845,2024-10-16 09:18:00+00:00,2024-10-16 10:33:00+0000,PGS-PR-LA4-BAN01,10004001,FALLA SENS. OPTICO,PARO MENOR POR DESALINEACIÓN DE MATERIAL. AJUSTE RÁPIDO REALIZADO.,PM03,OPR-TURNO,SUP_LINEA
4000846,20000846,2024-10-16 23:00:00+00:00,2024-10-17 01:14:00+0000,PGS-PR-LA4-TDF01,10004005,RESET CICLO PROD,Ver OT anterior. RESET CICLO PROD,PM03,OPR-TURNO,BAT_USER
4000847,20000847,2024-10-17 15:54:00+00:00,2024-10-17 18:00:00+0000,PGS-PR-LA4-RPL01,10004006,ATASCO L4,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,BAT_USER
4000849,20000849,2024-10-18 12:34:00+00:00,2024-10-18 13:53:00+0000,PGS-PR-LA4-BAN01,10004001,FALLO SENS TEMP,ok,PM03,OPR-TURNO,SYS_IIOT
4000848,20000848,2024-10-18 12:36:00+00:00,2024-10-18 14:57:00+0000,PGS-PR-LA4-INY01,10004004,FALLA SENS. OPTICO,PARO MENOR POR DESALINEACIÓN DE MATERIAL. AJUSTE RÁPIDO REALIZADO.,PM03,OPR-TURNO,BAT_USER
4000851,20000851,2024-10-18 23:09:00+00:00,2024-10-19 01:09:00+0000,PGS-PR-LA4-INY01,10004004,Micro paro - operativo,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,OPR-TURNO,RFC_PM
4000850,20000850,2024-10-18 23:25:00+00:00,2024-10-19 01:25:00+0000,PGS-PR-LA4-ENV01,10004003,atasco producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,OPR-TURNO,BAT_USER
4000852,20000852,2024-10-19 02:03:00+00:00,2024-10-19 04:23:00+0000,PGS-PR-LA4-INY01,10004004,reinicio,"MICRO-PARO SIN INTERVENCIÓN MECÁNICA MAYOR, EQUIPO RESETEADO DESDE HMI.",PM03,SUP-LINEA,OPR_T2
4000054,20000054,2024-10-20 09:54:15+00:00,2024-10-22 03:44:15+0000,PGS-PR-LA5-REM01,10005003,CAMBIO CONSUM.,Ajuste de tensiones y calibracion de sensores opticos.,PM02,MEC-PREV,RPEREZ
4000853,20000853,2024-10-20 19:55:00+00:00,2024-10-20 21:46:00+0000,PGS-PR-LA4-RPL01,10004006,SENSOR FALLA,revisar en prox turno,PM03,SUP-LINEA,SYS_IIOT
4000854,20000854,2024-10-21 13:05:00+00:00,2024-10-21 15:04:00+0000,PGS-PR-LA4-RPL01,10004006,ATASCO L4,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,BAT_USER
4000856,20000856,2024-10-21 19:15:00+00:00,2024-10-21 21:42:00+0000,PGS-PR-LA4-BUF01,10004002,RST CICLO,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,RFC_PM
4000855,20000855,2024-10-21 23:23:00+00:00,2024-10-22 01:46:00+0000,PGS-PR-LA4-INY01,10004004,MICRO PARO OPER.,MICRO PARO OPER. - sin novedad,PM03,OPR-TURNO,OPR_T2
4000857,20000857,2024-10-22 09:36:00+00:00,2024-10-22 12:18:00+0000,PGS-PR-LA4-ENV01,10004003,FALLA SENS. OPTICO,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,SYS_SCADA
4000859,20000859,2024-10-22 11:45:00+00:00,2024-10-22 14:21:00+0000,PGS-PR-LA4-BUF01,10004002,ATSC PRODUCTO,SENSOR DE PROXIMIDAD SUCIO. SE LIMPIÓ Y SE REINICIÓ LA MARCHA.,PM03,OPR-TURNO,SYS_IIOT
4000858,20000858,2024-10-22 13:09:00+00:00,2024-10-22 15:42:00+0000,PGS-PR-LA4-BUF01,10004002,FALLA SENS. OPTICO,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,SYS_SCADA
4000150,20000150,2024-10-22 15:55:59+00:00,2024-10-23 18:05:59+0000,PGS-PR-LA2-AGR01,10009003,Insp. de rutina,CAMBIO DE FILTROS Y REVISIÓN DE PARÁMETROS DE OPERACIÓN ESTÁNDAR.,PM02,INSP-GEN,SYS_IIOT
4000860,20000860,2024-10-22 21:51:00+00:00,2024-10-23 01:07:00+0000,PGS-PR-LA4-BUF01,10004002,atasco producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,BAT_USER
4000162,20000162,2024-10-23 04:46:48+00:00,2024-10-23 06:27:48+0000,PGS-PR-LA1-RPL01,10004006,Insp. de rutina,CAMBIO DE FILTROS Y REVISIÓN DE PARÁMETROS DE OPERACIÓN ESTÁNDAR.,PM02,INSP-GEN,SYS_IIOT
4000861,20000861,2024-10-23 12:39:00+00:00,2024-10-23 16:02:00+0000,PGS-PR-LA4-BUF01,10004002,REINICIO CICLO,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,OPR_T2
4000863,20000863,2024-10-23 13:00:00+00:00,2024-10-23 15:05:00+0000,PGS-PR-LA4-ENV01,10004003,ATASCO L4,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,OPR-TURNO,BAT_USER
4000862,20000862,2024-10-23 17:57:00+00:00,2024-10-23 19:39:00+0000,PGS-PR-LA4-INY01,10004004,Atasco - producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,OPR-TURNO,SYS_IIOT
4000199,20000199,2024-10-24 07:46:48+00:00,2024-10-25 11:24:48+0000,PGS-PR-LA5-AGR01,10009003,CAMBIO CONSUM.,Ajuste de tensiones y calibracion de sensores opticos.,PM02,MEC-PREV,RFC_PM
4000864,20000864,2024-10-24 23:19:00+00:00,2024-10-25 02:00:00+0000,PGS-PR-LA4-TDF01,10004005,FALLA SENS. OPTICO,PARO MENOR POR DESALINEACIÓN DE MATERIAL. AJUSTE RÁPIDO REALIZADO.,PM03,SUP-LINEA,RFC_PM
4000865,20000865,2024-10-25 02:28:00+00:00,2024-10-25 04:45:00+0000,PGS-PR-LA4-ENV01,10004003,MICROPARO,Ver OT anterior. MICROPARO,PM03,OPR-TURNO,OPR_T1
4000866,20000866,2024-10-26 15:36:00+00:00,2024-10-26 17:35:00+0000,PGS-PR-LA4-ENV01,10004003,ATSC PRODUCTO,ok,PM03,SUP-LINEA,OPR_T1
4000869,20000869,2024-10-27 00:37:00+00:00,2024-10-27 02:59:00+0000,PGS-PR-LA4-INY01,10004004,FALLO SENS TEMP,PARO MENOR POR DESALINEACIÓN DE MATERIAL. AJUSTE RÁPIDO REALIZADO.,PM03,OPR-TURNO,BAT_USER
4000868,20000868,2024-10-27 11:03:00+00:00,2024-10-27 12:39:00+0000,PGS-PR-LA4-BAN01,10004001,SENSOR FALLA,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,OPR_T1
4000870,20000870,2024-10-27 12:25:00+00:00,2024-10-27 13:40:00+0000,PGS-PR-LA4-BAN01,10004001,MICROPARO,"ATASCO DE PRODUCTO EN LA LÍNEA, RESUELTO POR EL OPERARIO DE TURNO EN POCOS MINUTOS.",PM03,SUP-LINEA,RFC_PM
4000867,20000867,2024-10-27 22:31:00+00:00,2024-10-28 00:33:00+0000,PGS-PR-LA4-RPL01,10004006,RST CICLO,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,OPR_T2
4000871,20000871,2024-10-28 01:03:00+00:00,2024-10-28 03:39:00+0000,PGS-PR-LA4-TDF01,10004005,REINICIO CICLO,Ver OT anterior. REINICIO CICLO,PM03,OPR-TURNO,RFC_PM
4000873,20000873,2024-10-29 08:13:00+00:00,2024-10-29 10:52:00+0000,PGS-PR-LA4-ENV01,10004003,ATSC PRODUCTO,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,OPR_T1
4000070,20000070,2024-10-29 10:51:42+00:00,2024-11-09 18:10:42+0000,PGS-PR-LA5-MES01,10001004,inspeccion rutina,Cambio de filtros y revisión de parametros de operacion estandar.,PM02,ELE-PREV,MEC_01
4000874,20000874,2024-10-29 15:55:00+00:00,2024-10-29 17:44:00+0000,PGS-PR-LA4-RPL01,10004006,MICROPARO,"ATASCO DE PRODUCTO EN LA LÍNEA, RESUELTO POR EL OPERARIO DE TURNO EN POCOS MINUTOS.",PM03,OPR-TURNO,OPR_T3
4000875,20000875,2024-10-29 18:51:00+00:00,2024-10-29 21:01:00+0000,PGS-PR-LA4-TDF01,10004005,FALLA DE SENSOR,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,BAT_USER
4000872,20000872,2024-10-29 23:26:00+00:00,2024-10-30 01:34:00+0000,PGS-PR-LA4-ENV01,10004003,atasco producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,SYS_IIOT
4000876,20000876,2024-10-30 04:01:00+00:00,2024-10-30 06:02:00+0000,PGS-PR-LA4-INY01,10004004,MICRO PARO OPER.,"ATASCO DE PRODUCTO EN LA LÍNEA, RESUELTO POR EL OPERARIO DE TURNO EN POCOS MINUTOS.",PM03,SUP-LINEA,OPR_T2
4000879,20000879,2024-10-31 05:29:00+00:00,2024-10-31 08:08:00+0000,PGS-PR-LA4-BUF01,10004002,MICRO PARO OPER.,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,OPR_T1
4000878,20000878,2024-10-31 08:41:00+00:00,2024-10-31 11:18:00+0000,PGS-PR-LA4-ENV01,10004003,RESET CICLO PROD,revisar en prox turno,PM03,SUP-LINEA,OPR_T1
4000877,20000877,2024-10-31 20:23:00+00:00,2024-10-31 22:27:00+0000,PGS-PR-LA4-INY01,10004004,atasco producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,OPR-TURNO,SUP_LINEA
4000235,20000235,2024-11-01 15:47:17+00:00,2024-11-01 18:47:17+0000,PGS-PR-LA4-BUF01,10004002,CALIB. Y AJUSTE,equipo normalizado,PM02,INSP-GEN,BAT_USER
4000880,20000880,2024-11-01 16:37:00+00:00,2024-11-01 18:27:00+0000,PGS-PR-LA4-RPL01,10004006,sensor - fallo temporal,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,OPR_T3
4000881,20000881,2024-11-01 16:55:00+00:00,2024-11-01 19:04:00+0000,PGS-PR-LA4-INY01,10004004,RESET CICLO PROD,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,OPR_T3
4000883,20000883,2024-11-02 01:52:00+00:00,2024-11-02 03:57:00+0000,PGS-PR-LA4-TDF01,10004005,FALLO SENS TEMP,Se normalizo. OK,PM03,SUP-LINEA,RFC_PM
4000882,20000882,2024-11-02 09:47:00+00:00,2024-11-02 12:44:00+0000,PGS-PR-LA4-ENV01,10004003,reinicio,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,BAT_USER
4000885,20000885,2024-11-03 12:08:00+00:00,2024-11-03 14:11:00+0000,PGS-PR-LA4-ENV01,10004003,REINICIO CICLO,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,SYS_SCADA
4000884,20000884,2024-11-03 12:27:00+00:00,2024-11-03 14:51:00+0000,PGS-PR-LA4-INY01,10004004,reinicio,reinicio - sin novedad,PM03,SUP-LINEA,RFC_PM
4000200,20000200,2024-11-03 18:28:09+00:00,2024-11-04 18:08:09+0000,PGS-PR-LA5-AGR01,10009003,MTO PREV. PROGRAMADO,Se normalizo. OK,PM02,MEC-PREV,AMARTINEZ
4000886,20000886,2024-11-04 04:18:00+00:00,2024-11-04 05:59:00+0000,PGS-PR-LA4-BAN01,10004001,reinicio de ciclo HMI,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,RFC_PM
4000136,20000136,2024-11-05 02:56:54+00:00,2024-11-06 02:09:54+0000,PGS-PR-LA2-AGR01,10009003,AJUSTE Y CALIB.,Limpieza profunda de componentes y verificacion de aislamientos eléctricos.,PM02,INSP-GEN,FDIAZ
4000888,20000888,2024-11-05 07:39:00+00:00,2024-11-05 09:38:00+0000,PGS-PR-LA4-RPL01,10004006,atasco producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,OPR-TURNO,OPR_T1
4000887,20000887,2024-11-05 11:00:00+00:00,2024-11-05 14:24:00+0000,PGS-PR-LA4-BUF01,10004002,ATASCO MENOR PROD.,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,SUP_LINEA
4000889,20000889,2024-11-05 11:06:00+00:00,2024-11-05 13:18:00+0000,PGS-PR-LA4-RPL01,10004006,ATASCO MENOR PROD.,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,OPR-TURNO,OPR_T2
4000891,20000891,2024-11-06 00:06:00+00:00,2024-11-06 02:09:00+0000,PGS-PR-LA4-ENV01,10004003,MICRO PARO OPER.,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,SUP-LINEA,RFC_PM
4000893,20000893,2024-11-06 11:39:00+00:00,2024-11-06 14:55:00+0000,PGS-PR-LA4-BUF01,10004002,Rst. de ciclo,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,SYS_SCADA
4000892,20000892,2024-11-06 17:22:00+00:00,2024-11-06 19:01:00+0000,PGS-PR-LA4-INY01,10004004,ATASCO L4,SENSOR DE PROXIMIDAD SUCIO. SE LIMPIÓ Y SE REINICIÓ LA MARCHA.,PM03,SUP-LINEA,SYS_SCADA
4000890,20000890,2024-11-06 21:50:00+00:00,2024-11-07 00:53:00+0000,PGS-PR-LA4-BUF01,10004002,FALLO SENS TEMP,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,SYS_SCADA
4000894,20000894,2024-11-07 16:36:00+00:00,2024-11-07 18:38:00+0000,PGS-PR-LA4-INY01,10004004,Falla sens. prox,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,OPR-TURNO,SYS_SCADA
4000896,20000896,2024-11-08 02:38:00+00:00,2024-11-08 04:11:00+0000,PGS-PR-LA4-RPL01,10004006,Falla sens. prox,ok,PM03,SUP-LINEA,RFC_PM
4000897,20000897,2024-11-08 06:37:00+00:00,2024-11-08 08:01:00+0000,PGS-PR-LA4-BAN01,10004001,Falla sens. prox,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,SUP_LINEA
4000895,20000895,2024-11-08 08:36:00+00:00,2024-11-08 10:43:00+0000,PGS-PR-LA4-RPL01,10004006,micro paro op.,idem anterior,PM03,OPR-TURNO,SYS_IIOT
4000351,20000351,2024-11-09 00:00:00+00:00,2024-11-09 02:18:00+0000,PGS-PR-LA3-TDF01,10004005,ALARMA ESCARCHA,ALARMA ESCARCHA - sin novedad,PM01,TURNO-A,LGOMEZ
4000058,20000058,2024-11-09 09:42:28+00:00,2024-11-10 11:22:28+0000,PGS-PR-LA1-HRN01,10001001,MTTO PREVENTIVO,Se realizo la inspeccion visual y lubricacion de partes móviles segun plan de mantenimiento.,PM02,ELE-PREV,MRODRIG
4000898,20000898,2024-11-09 16:56:00+00:00,2024-11-09 19:09:00+0000,PGS-PR-LA4-INY01,10004004,REINICIO CICLO,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,SUP_LINEA
4000900,20000900,2024-11-09 18:06:00+00:00,2024-11-09 20:42:00+0000,PGS-PR-LA4-TDF01,10004005,fallo sensor temp,Paro menor por desalineación de material. Ajuste rápido realizado.,PM03,SUP-LINEA,SYS_IIOT
4000899,20000899,2024-11-09 18:14:00+00:00,2024-11-09 19:57:00+0000,PGS-PR-LA4-RPL01,10004006,atasco producto,Sensor de proximidad sucio. Se limpió y se reinició la marcha.,PM03,SUP-LINEA,OPR_T1
4000903,20000903,2024-11-10 04:34:00+00:00,2024-11-10 06:48:00+0000,PGS-PR-LA4-INY01,10004004,REINICIO CICLO,"MICRO-PARO SIN INTERVENCIÓN MECÁNICA MAYOR, EQUIPO RESETEADO DESDE HMI.",PM03,SUP-LINEA,OPR_T3
4000901,20000901,2024-11-10 10:11:00+00:00,2024-11-10 12:57:00+0000,PGS-PR-LA4-TDF01,10004005,micro paro op.,"Atasco de producto en la línea, resuelto por el operario de turno en pocos minutos.",PM03,OPR-TURNO,OPR_T2
4000904,20000904,2024-11-10 13:07:00+00:00,2024-11-10 14:19:00+0000,PGS-PR-LA4-BAN01,10004001,RST CICLO,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,BAT_USER
4000902,20000902,2024-11-10 16:38:00+00:00,2024-11-10 18:28:00+0000,PGS-PR-LA4-RPL01,10004006,reinicio,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,SUP-LINEA,SYS_SCADA
4000906,20000906,2024-11-11 14:22:00+00:00,2024-11-11 16:41:00+0000,PGS-PR-LA4-ENV01,10004003,reinicio de ciclo HMI,"Intervencion rapida, sin repuestos",PM03,OPR-TURNO,BAT_USER
4000905,20000905,2024-11-11 15:17:00+00:00,2024-11-11 16:54:00+0000,PGS-PR-LA4-BAN01,10004001,ATASCO PROD,ok,PM03,OPR-TURNO,OPR_T3
4000908,20000908,2024-11-12 06:58:00+00:00,2024-11-12 10:04:00+0000,PGS-PR-LA4-BUF01,10004002,Rst. de ciclo,"Micro-paro sin intervencion mecánica mayor, equipo reseteado desde HMI.",PM03,OPR-TURNO,OPR_T3
